name,team,pos,age,gp,passYds,passTD,int,carries,rushYds,ypc,rushTD,targets,rec,recYds,ypr,recTD,pprPts
Jonathan Taylor,IND,RB,26,17,0,0,0,323,1585,4.91,18,55,46,378,8.22,2,362.3
Christian McCaffrey,SFO,RB,29,17,0,0,0,311,1202,3.86,10,129,102,924,9.06,7,416.6
Bijan Robinson,ATL,RB,23,17,0,0,0,287,1478,5.15,7,103,79,820,10.38,4,370.8
Jahmyr Gibbs,DET,RB,23,17,0,0,0,243,1223,5.03,13,94,77,616,8.00,5,366.9
Puka Nacua,LAR,WR,24,16,0,0,0,10,105,10.50,1,166,129,1715,13.29,10,375.0
Jaxon Smith-Njigba,SEA,WR,23,17,0,0,0,7,36,5.14,0,163,119,1793,15.07,10,359.9
James Cook,BUF,RB,26,17,0,0,0,309,1621,5.25,12,40,33,291,8.82,2,302.2
Derrick Henry,BAL,RB,31,17,0,0,0,307,1595,5.20,16,21,15,150,10.00,0,279.5
De'Von Achane,MIA,RB,24,16,0,0,0,238,1350,5.67,8,85,67,488,7.28,4,322.8
Josh Allen,BUF,QB,29,17,3668,25,10,112,579,5.17,14,0,0,0,,0,364.6
Amon-Ra St. Brown,DET,WR,26,17,0,0,0,3,9,3.00,0,172,117,1401,11.97,11,324.0
Trey McBride,ARI,TE,26,17,0,0,0,0,0,,0,169,126,1239,9.83,11,315.9
George Pickens,DAL,WR,24,17,0,0,0,0,0,,0,137,93,1429,15.37,9,291.9
Drake Maye,NWE,QB,23,17,4394,31,8,103,450,4.37,4,1,1,2,2.00,0,352.0
Matthew Stafford,LAR,QB,37,17,4707,46,8,29,1,0.03,0,0,0,0,,0,350.4
Kyren Williams,LAR,RB,25,17,0,0,0,259,1252,4.83,10,50,36,281,7.81,3,263.3
Ja'Marr Chase,CIN,WR,25,16,0,0,0,3,14,4.67,0,185,125,1412,11.30,8,313.6
Travis Etienne,JAX,RB,26,17,0,0,0,260,1107,4.26,7,52,36,292,8.11,6,253.9
Trevor Lawrence,JAX,QB,26,17,4007,29,12,82,359,4.38,9,0,0,0,,0,338.2
Chase Brown,CIN,RB,25,17,0,0,0,232,1019,4.39,6,88,69,437,6.33,5,282.6
Javonte Williams,DAL,RB,25,16,0,0,0,252,1201,4.77,11,51,35,137,3.91,2,242.8
