RK,PLAYER NAME,TEAM,TEAM POS,TEAM POS RANK,BYE WEEK
1,Ja'Marr Chase,CIN,WR,WR1,6
2,Puka Nacua,LAR,WR,WR1,11
3,Bijan Robinson,ATL,RB,RB1,11
4,Jahmyr Gibbs,DET,RB,RB1,6
5,Jaxon Smith-Njigba,SEA,WR,WR1,11
6,Amon-Ra St. Brown,DET,WR,WR1,6
7,CeeDee Lamb,DAL,WR,WR1,14
8,Christian McCaffrey,SF,RB,RB1,8
9,Justin Jefferson,MIN,WR,WR1,6
10,Drake London,ATL,WR,WR1,11
11,Jonathan Taylor,IND,RB,RB1,13
12,A.J. Brown,NE,WR,WR1,11
13,Nico Collins,HOU,WR,WR1,8
14,Ashton Jeanty,LV,RB,RB1,13
15,Trey McBride,ARI,TE,TE1,14
16,George Pickens,DAL,WR,WR2,14
17,James Cook III,BUF,RB,RB1,7
18,Chase Brown,CIN,RB,RB1,6
19,De'Von Achane,MIA,RB,RB1,6
20,Rashee Rice,KC,WR,WR1,5
21,Brock Bowers,LV,TE,TE1,13
22,Chris Olave,NO,WR,WR1,8
23,Omarion Hampton,LAC,RB,RB1,7
24,DeVonta Smith,PHI,WR,WR1,10
25,Saquon Barkley,PHI,RB,RB1,10
26,Josh Allen,BUF,QB,QB1,7
27,Garrett Wilson,NYJ,WR,WR1,13
28,Zay Flowers,BAL,WR,WR1,13
29,Lamar Jackson,BAL,QB,QB1,13
30,Kenneth Walker III,KC,RB,RB1,5
31,Tetairoa McMillan,CAR,WR,WR1,5
32,Tee Higgins,CIN,WR,WR2,6
33,Ladd McConkey,LAC,WR,WR1,7
34,Drake Maye,NE,QB,QB1,11
35,Jeremiyah Love,ARI,RB,RB1,14
36,Jaylen Waddle,DEN,WR,WR1,10
37,Colston Loveland,CHI,TE,TE1,10
38,Emeka Egbuka,TB,WR,WR1,10
39,Derrick Henry,BAL,RB,RB1,13
40,Malik Nabers,NYG,WR,WR1,8
41,Breece Hall,NYJ,RB,RB1,13
